,FinalWorth,Person Name,Age,country,City,source,Industries,Country_Of_Citizenship,Self_Made,Status,Gender,State,Residence_State_Region,Birth Year,Birth Month,Birthday,CPI Country,CPI ChangeCountry,GDP_Country,Gross_Tertiarye_Education_Enrollment,Gross_Primary_Education_Enrollment_Country,Life_Expectancy_Country,Tax_Revenue_Country,Total_TaxRate_Country,Population_Country,Latitude Country,Longitude Country
51,26700,William Ding,51.0,China,Hangzhou,Online games,Technology,China,True,U,M,,,1971.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
52,26600,Germán Larrea Mota Velasco & family,69.0,Mexico,Mexico City,Mining,Metals & Mining,Mexico,False,D,M,,,1953.0,10.0,26.0,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
53,25600,Shiv Nadar,77.0,India,Delhi,software services,Technology,India,True,D,M,,,1945.0,7.0,18.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
54,25500,Low Tuck Kwong,74.0,Indonesia,Jakarta,Coal,Energy,Indonesia,True,U,M,,,1948.0,4.0,17.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
55,25300,Thomas Peterffy,78.0,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,True,U,M,Florida,South,1944.0,9.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
56,25200,Andrey Melnichenko & family,51.0,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,True,U,M,,,1972.0,3.0,8.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
57,24600,Stefan Quandt,56.0,Germany,Frankfurt,BMW,Automotive,Germany,False,U,M,,,1966.0,5.0,9.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
58,24400,MacKenzie Scott,52.0,United States,Seattle,Amazon,Technology,United States,False,D,F,Washington,West,1970.0,4.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
59,24200,R. Budi Hartono,82.0,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,False,U,M,,,1941.0,1.0,1.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
60,23700,Vladimir Potanin,62.0,Russia,Moscow,Metals,Metals & Mining,Russia,True,U,M,,,1961.0,1.0,3.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
61,23500,Jack Ma,58.0,China,Hangzhou,E-commerce,Technology,China,True,U,M,,,1964.0,9.0,10.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
62,23400,He Xiangjian & family,80.0,China,Foshan,Home appliances,Manufacturing,China,True,D,M,,,1942.0,8.0,11.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
